Lesson,Part,英語,日本語
Starter,,a soccer player,サッカー選手
Starter,,a yellow umbrella,黄色いかさ
Starter,,I am a soccer player.,私はサッカー選手です。
Starter,,"Hello, I am Hasegawa Mika.",こんにちは。私は長谷川ミカです。
Starter,,Are you from Tokyo?,あなたは東京出身ですか。
Starter,,"No, I'm not.",いいえ、違います。
1,1,I am Kato Riku.,私は加藤リクです。
1,1,I like music.,私は音楽が好きです。
1,1,I am Lisa.,私はリサです。
1,1,I like cats.,私はネコを好みます。（=私はネコが好きです。）
1,1,I am Watanabe Ken.,私は渡辺ケンです。
1,1,I am good at soccer.,私はサッカーが上手です。
1,1,I like soba.,私はそばが好きです。
1,1,I like dogs.,私はイヌが好きです。
1,1,I am Lisa Brown.,私はリサ・ブラウンです。
1,1,I like tennis.,私はテニスが好きです。
1,1,I am good at English.,ぼくは英語が上手です。
1,1,I play rugby.,ぼくはラグビーをします。
1,1,I watch movies.,私は映画を見ます。
1,1,read,…を読む
1,1,game,試合
1,1,often,たびたび、よく
1,1,I am good at judo.,ぼくは柔道が上手です。
1,1,I read books in English.,私は英語で本を読みます。
1,2-1,"Are you a basketball fan? Yes, I am.",あなたはバスケットボールのファンですか。はい、そうです。
1,2-1,"Do you like rugby? Yes, I do.",あなたはラグビーが好きですか。はい、好きです。
1,2-1,Are you a soccer fan?,あなたはサッカーファンですか。
1,2-1,Are you Mika?,あなたはミカですか。
1,2-1,Are you in a school club?,あなたは学校のクラブに所属していますか。
1,2-1,Do you like dogs?,あなたはイヌが好きですか。
1,2-1,Do you play piano?,あなたはピアノをひきますか。
1,2-1,"Are you a dancer? Yes, I am.",あなたはダンサーですか。はい、そうです。
1,2-1,"Are you a volleyball fan? No, I am not.",あなたはバレーボールのファンですか。いいえ、そうではありません。
1,2-1,"Do you like sushi? Yes, I do.",あなたはすしが好きですか。はい、好きです。
1,2-1,"Do you go to the library? No, I do not.",あなたは図書館へ行きますか。いいえ、行きません。
1,2-1,You are Kota.,あなたはコータです。
1,2-1,Are you Kota?,あなたはコータですか。
1,2-1,You like English.,あなたは英語が好きです。
1,2-2,Do you like English?,あなたは英語が好きですか。
1,2-2,You play tennis.,あなたはテニスをします。
1,2-2,Do you play tennis?,あなたはテニスをしますか。
